simbolo,coingecko_id,ticker,multiplicador,mcap_rank,ambiguo,dudoso,nota
ARCUSDT,ai-rig-complex,ARC,1.0,306,1,0,2 candidatos
ARIAUSDT,aria-ai,ARIA,1.0,1486,0,0,
ARKMUSDT,arkham,ARKM,1.0,355,0,0,
ARKUSDT,ark,ARK,1.0,853,0,0,
ARMUSDT,,ARM,1.0,,0,1,sin match en el ranking
ARPAUSDT,arpa,ARPA,1.0,1252,0,0,
ARUSDT,arweave,AR,1.0,236,0,0,
ARXUSDT,arcs,ARX,1.0,2324,1,1,2 candidatos; RANK PROFUNDO (2324) — verificar a mano
ASMLUSDT,,ASML,1.0,,0,1,sin match en el ranking
ASRUSDT,as-roma-fan-token,ASR,1.0,1315,0,0,
ASTERUSDT,aster-2,ASTER,1.0,47,0,0,
ASTRUSDT,astar,ASTR,1.0,499,0,0,
ASTSUSDT,,ASTS,1.0,,0,1,sin match en el ranking
ATAUSDT,automata,ATA,1.0,4273,0,1,RANK PROFUNDO (4273) — verificar a mano
ATHUSDT,aethir,ATH,1.0,295,0,0,
ATOMUSDT,cosmos,ATOM,1.0,77,0,0,
ATUSDT,apro,AT,1.0,553,0,0,
AUCTIONUSDT,auction,AUCTION,1.0,757,0,0,
AUDIOUSDT,audius,AUDIO,1.0,869,0,0,
AUSDT,vaulta,A,1.0,248,0,0,
AVAAIUSDT,,AVAAI,1.0,,0,1,sin match en el ranking
AVAUSDT,ava-ai,AVA,1.0,955,1,0,2 candidatos
AVAXUSDT,avalanche-2,AVAX,1.0,33,0,0,
AVGOUSDT,,AVGO,1.0,,0,1,sin match en el ranking
AVNTUSDT,avantis,AVNT,1.0,539,0,0,
AWEUSDT,stp-network,AWE,1.0,229,0,0,
AXLUSDT,axelar,AXL,1.0,463,0,0,
AXSUSDT,axie-infinity,AXS,1.0,193,0,0,
AXTIUSDT,,AXTI,1.0,,0,1,sin match en el ranking
AZTECUSDT,aztec,AZTEC,1.0,555,0,0,
B2USDT,bsquared-network,B2,1.0,801,0,0,
B3USDT,b3,B3,1.0,793,0,0,
BABAUSDT,,BABA,1.0,,0,1,sin match en el ranking
BABYUSDT,babylon,BABY,1.0,468,0,0,
BADGERUSDT,badger-dao,BADGER,1.0,1373,0,0,
BAKEUSDT,,BAKE,1.0,,0,1,sin match en el ranking
BALUSDT,balancer,BAL,1.0,1387,0,0,
BANANAS31USDT,banana-for-scale-2,BANANAS31,1.0,290,0,0,
BANANAUSDT,banana-gun,BANANA,1.0,953,0,0,
BANDUSDT,band-protocol,BAND,1.0,650,0,0,
BANKUSDT,lorenzo-protocol,BANK,1.0,914,0,0,
BANUSDT,comedian,BAN,1.0,308,1,0,2 candidatos
BARDUSDT,lombard-protocol,BARD,1.0,521,0,0,
BASEDUSDT,based-one,BASED,1.0,855,0,0,
BASUSDT,bas,BAS,1.0,347,0,0,
BATUSDT,basic-attention-token,BAT,1.0,282,0,0,
BBUSDT,bouncebit,BB,1.0,1620,1,0,2 candidatos
BBXUSDT,,BBX,1.0,,0,1,sin match en el ranking
BCHUSDT,bitcoin-cash,BCH,1.0,22,0,0,
BDXNUSDT,,BDXN,1.0,,0,1,sin match en el ranking
BEAMXUSDT,,BEAMX,1.0,,0,1,sin match en el ranking
BEATUSDT,audiera,BEAT,1.0,125,0,0,
BELUSDT,bella-protocol,BEL,1.0,1251,0,0,
BERAUSDT,berachain-bera,BERA,1.0,460,0,0,
BEUSDT,bloom-energy-robinhood-tokenized-stock,BE,1.0,3563,0,1,RANK PROFUNDO (3563) — verificar a mano
BICOUSDT,biconomy,BICO,1.0,799,0,0,
BIDUSDT,creatorbid,BID,1.0,2159,0,1,RANK PROFUNDO (2159) — verificar a mano
BIGTIMEUSDT,big-time,BIGTIME,1.0,1199,0,0,
BILLUSDT,billions-network,BILL,1.0,389,0,0,
BIOUSDT,bio-protocol,BIO,1.0,404,0,0,
BIRBUSDT,moonbirds,BIRB,1.0,967,0,0,
BITOUSDT,,BITO,1.0,,0,1,sin match en el ranking
BLESSUSDT,bless-2,BLESS,1.0,827,0,0,
BLUAIUSDT,bluwhale,BLUAI,1.0,890,0,0,
BLUEBIRDUSDT,,BLUEBIRD,1.0,,0,1,sin match en el ranking
BLURUSDT,blur,BLUR,1.0,522,0,0,
BLZUSDT,bluzelle,BLZ,1.0,1910,0,0,
BMNRUSDT,,BMNR,1.0,,0,1,sin match en el ranking
BMTUSDT,bubblemaps,BMT,1.0,1081,0,0,
BNBUSDT,binancecoin,BNB,1.0,4,0,0,
BNCUSDT,bifrost-native-coin,BNC,1.0,3455,0,1,RANK PROFUNDO (3455) — verificar a mano
BNTUSDT,bancor,BNT,1.0,680,0,0,
BNXUSDT,binaryx,BNX,1.0,770,0,0,
BOBUSDT,bob-build-on-bitcoin,BOB,1.0,1031,1,0,4 candidatos
BOMEUSDT,book-of-meme,BOME,1.0,422,0,0,
BONDUSDT,,BOND,1.0,,0,1,sin match en el ranking
BOTUSDT,bot,BOT,1.0,315,1,0,3 candidatos
BRETTUSDT,based-brett,BRETT,1.0,509,1,0,2 candidatos
BREVUSDT,brevis,BREV,1.0,876,0,0,
BRKBUSDT,,BRKB,1.0,,0,1,sin match en el ranking
BROCCOLI714USDT,,BROCCOLI714,1.0,,0,1,sin match en el ranking
BROCCOLIF3BUSDT,,BROCCOLIF3B,1.0,,0,1,sin match en el ranking
BRUSDT,bedrock-token,BR,1.0,299,0,0,
BSBUSDT,block-street,BSB,1.0,647,0,0,
BSPUSDT,,BSP,1.0,,0,1,sin match en el ranking
BSVUSDT,bitcoin-cash-sv,BSV,1.0,122,0,0,
BSWUSDT,,BSW,1.0,,0,1,sin match en el ranking
BTCDOMUSDT,,BTCDOM,1.0,,0,1,sin match en el ranking
BTCSTUSDT,,BTCST,1.0,,0,1,sin match en el ranking
BTCUSDT,bitcoin,BTC,1.0,1,0,0,
BTRUSDT,bitlayer-bitvm,BTR,1.0,1288,1,0,2 candidatos
BTSUSDT,bitshares,BTS,1.0,1842,0,0,
BTTUSDT,bittorrent,BTT,1.0,139,0,0,
BTWUSDT,bitway,BTW,1.0,79,0,0,
BULLAUSDT,bulla-3,BULLA,1.0,1613,0,0,
BUSDT,build-on,B,1.0,185,1,0,2 candidatos
BXUSDT,,BX,1.0,,0,1,sin match en el ranking
BZRXUSDT,,BZRX,1.0,,0,1,sin match en el ranking
BZUSDT,,BZ,1.0,,0,1,sin match en el ranking
C98USDT,coin98,C98,1.0,983,0,0,
CAKEUSDT,pancakeswap-token,CAKE,1.0,104,0,0,
CAPUSDT,cap-4,CAP,1.0,275,1,0,2 candidatos
CARVUSDT,carv,CARV,1.0,796,0,0,
CATIUSDT,catizen,CATI,1.0,765,0,0,
CATUSDT,simon-s-cat,CAT,1.0,1061,1,0,4 candidatos
CBRSUSDT,,CBRS,1.0,,0,1,sin match en el ranking
CCUSDT,canton-network,CC,1.0,25,0,0,
CELOUSDT,celo,CELO,1.0,541,0,0,
CELRUSDT,celer-network,CELR,1.0,1116,0,0,
CETUSUSDT,cetus-protocol,CETUS,1.0,819,0,0,
CFGUSDT,centrifuge-2,CFG,1.0,382,0,0,
CFXUSDT,conflux-token,CFX,1.0,149,0,0,
CGPTUSDT,chaingpt,CGPT,1.0,814,0,0,
CHESSUSDT,,CHESS,1.0,,0,1,sin match en el ranking
CHILLGUYUSDT,chill-guy,CHILLGUY,1.0,1110,0,0,
CHIPUSDT,chip-2,CHIP,1.0,450,0,0,
CHRUSDT,chromaway,CHR,1.0,1018,0,0,
CHZUSDT,chiliz,CHZ,1.0,217,0,0,
CIENUSDT,,CIEN,1.0,,0,1,sin match en el ranking
CKBUSDT,nervos-network,CKB,1.0,492,0,0,
CLANKERUSDT,tokenbot-2,CLANKER,1.0,1050,0,0,
CLOUSDT,yei-finance,CLO,1.0,939,0,0,
CLUSDT,,CL,1.0,,0,1,sin match en el ranking
COAIUSDT,chainopera-ai,COAI,1.0,362,0,0,
COCOSUSDT,,COCOS,1.0,,0,1,sin match en el ranking
COHRUSDT,,COHR,1.0,,0,1,sin match en el ranking
COINUSDT,8-bit-coin,COIN,1.0,1961,1,0,2 candidatos
COLLECTUSDT,collect-on-fanable,COLLECT,1.0,610,0,0,
COMBOUSDT,,COMBO,1.0,,0,1,sin match en el ranking
COMMONUSDT,,COMMON,1.0,,0,1,sin match en el ranking
COMPUSDT,compound-governance-token,COMP,1.0,188,0,0,
COOKIEUSDT,cookie,COOKIE,1.0,1192,0,0,
COPPERUSDT,,COPPER,1.0,,0,1,sin match en el ranking
COSTUSDT,,COST,1.0,,0,1,sin match en el ranking
COSUSDT,contentos,COS,1.0,3004,0,1,RANK PROFUNDO (3004) — verificar a mano
COTIUSDT,coti,COTI,1.0,590,0,0,
COWUSDT,cow-protocol,COW,1.0,376,0,0,
CRCLUSDT,circle-internet-group-robinhood-tokenized-stock,CRCL,1.0,3501,0,1,RANK PROFUNDO (3501) — verificar a mano
CRDOUSDT,,CRDO,1.0,,0,1,sin match en el ranking
CRMUSDT,,CRM,1.0,,0,1,sin match en el ranking
CROSSUSDT,cross-2,CROSS,1.0,436,0,0,
CRVUSDT,curve-dao-token,CRV,1.0,109,0,0,
CRWDUSDT,,CRWD,1.0,,0,1,sin match en el ranking
CRWVUSDT,coreweave-robinhood-tokenized-stock,CRWV,1.0,3382,0,1,RANK PROFUNDO (3382) — verificar a mano
CSCOUSDT,,CSCO,1.0,,0,1,sin match en el ranking
CTKUSDT,certik,CTK,1.0,881,0,0,
CTRUSDT,citrea,CTR,1.0,1013,0,0,
CTSIUSDT,cartesi,CTSI,1.0,728,0,0,
CUDISUSDT,,CUDIS,1.0,,0,1,sin match en el ranking
CUSDT,chainbase,C,1.0,1158,0,0,
CVCUSDT,civic,CVC,1.0,972,0,0,
CVXUSDT,convex-finance,CVX,1.0,191,0,0,
CYBERUSDT,cyberconnect,CYBER,1.0,763,0,0,
CYSUSDT,cysic,CYS,1.0,169,0,0,
DAMUSDT,reservoir,DAM,1.0,3207,0,1,RANK PROFUNDO (3207) — verificar a mano
DARUSDT,,DAR,1.0,,0,1,sin match en el ranking
DASHUSDT,dash,DASH,1.0,111,0,0,
DATAIPUSDT,,DATAIP,1.0,,0,1,sin match en el ranking
DEEPUSDT,deep,DEEP,1.0,564,0,0,
DEFIUSDT,de-fi,DEFI,1.0,3697,0,1,RANK PROFUNDO (3697) — verificar a mano
DEGENUSDT,degen-base,DEGEN,1.0,530,0,0,
DEGOUSDT,,DEGO,1.0,,0,1,sin match en el ranking
DELLUSDT,,DELL,1.0,,0,1,sin match en el ranking
DENTUSDT,dent,DENT,1.0,2030,0,1,RANK PROFUNDO (2030) — verificar a mano
DEXEUSDT,dexe,DEXE,1.0,324,0,0,
DFUSDT,,DF,1.0,,0,1,sin match en el ranking
DGBUSDT,digibyte,DGB,1.0,302,0,0,
DIAUSDT,dia-data,DIA,1.0,944,0,0,
DISUSDT,,DIS,1.0,,0,1,sin match en el ranking
DKNGUSDT,,DKNG,1.0,,0,1,sin match en el ranking
DMCUSDT,delorean,DMC,1.0,2070,0,1,RANK PROFUNDO (2070) — verificar a mano
DODOUSDT,dodo,DODO,1.0,738,0,0,
DODOXUSDT,,DODOX,1.0,,0,1,sin match en el ranking
DOGEUSDT,dogecoin,DOGE,1.0,11,1,0,2 candidatos
DOGSUSDT,dogs-2,DOGS,1.0,840,0,0,
DOLOUSDT,dolomite,DOLO,1.0,1092,0,0,
DOODUSDT,doodles,DOOD,1.0,1171,0,0,
DOTECOUSDT,,DOTECO,1.0,,0,1,sin match en el ranking
DOTUSDT,polkadot,DOT,1.0,55,1,0,2 candidatos
DRAMUSDT,roundhill-memory-etf-backpack-securities,DRAM,1.0,2581,0,1,RANK PROFUNDO (2581) — verificar a mano
DRIFTUSDT,drift-protocol,DRIFT,1.0,1282,0,0,
DUSDT,dar-open-network,D,1.0,2645,0,1,RANK PROFUNDO (2645) — verificar a mano
DUSKUSDT,dusk-network,DUSK,1.0,546,0,0,
DYDXUSDT,dydx-chain,DYDX,1.0,269,0,0,
DYMUSDT,dymension,DYM,1.0,1247,0,0,
EBAYUSDT,,EBAY,1.0,,0,1,sin match en el ranking
EDENUSDT,openeden,EDEN,1.0,618,0,0,
EDGEUSDT,edgex,EDGE,1.0,233,1,0,3 candidatos
EDUUSDT,edu-coin,EDU,1.0,600,0,0,
EGLDUSDT,elrond-erd-2,EGLD,1.0,292,0,0,
EIGENUSDT,eigenlayer,EIGEN,1.0,218,0,0,
ELSAUSDT,elsa,ELSA,1.0,1066,0,0,
ENAUSDT,ethena,ENA,1.0,75,0,0,
ENJUSDT,enjincoin,ENJ,1.0,439,0,0,
ENSOUSDT,enso,ENSO,1.0,903,0,0,
ENSUSDT,ethereum-name-service,ENS,1.0,175,0,0,
EOSUSDT,,EOS,1.0,,0,1,sin match en el ranking
EPICUSDT,epic-chain,EPIC,1.0,1044,1,0,2 candidatos
EPTUSDT,balance,EPT,1.0,3164,0,1,RANK PROFUNDO (3164) — verificar a mano
ERAUSDT,caldera,ERA,1.0,1093,0,0,
ESPORTSUSDT,yooldo-games,ESPORTS,1.0,2043,0,1,RANK PROFUNDO (2043) — verificar a mano
ESPUSDT,espresso,ESP,1.0,445,0,0,
ETCUSDT,ethereum-classic,ETC,1.0,66,0,0,
ETHFIUSDT,ether-fi,ETHFI,1.0,106,0,0,
ETHUSDT,ethereum,ETH,1.0,2,0,0,
ETHWUSDT,ethereum-pow-iou,ETHW,1.0,703,0,0,
EULUSDT,euler,EUL,1.0,666,0,0,
EVAAUSDT,evaa-protocol,EVAA,1.0,1529,0,0,
EWJUSDT,,EWJ,1.0,,0,1,sin match en el ranking
EWTUSDT,energy-web-token,EWT,1.0,761,0,0,
EWYUSDT,,EWY,1.0,,0,1,sin match en el ranking
EWZUSDT,,EWZ,1.0,,0,1,sin match en el ranking
FARTCOINUSDT,fartcoin,FARTCOIN,1.0,206,0,0,
FETUSDT,fetch-ai,FET,1.0,123,0,0,
FFUSDT,falcon-finance-ff,FF,1.0,161,0,0,
FHEUSDT,mind-network,FHE,1.0,1428,0,0,
FIDAUSDT,bonfida,FIDA,1.0,863,0,0,
FIGHTUSDT,fight-2,FIGHT,1.0,1255,0,0,
FILUSDT,filecoin,FIL,1.0,92,0,0,
FIOUSDT,,FIO,1.0,,0,1,sin match en el ranking
FISUSDT,,FIS,1.0,,0,1,sin match en el ranking
FLEXUSDT,,FLEX,1.0,,0,1,sin match en el ranking
FLMUSDT,,FLM,1.0,,0,1,sin match en el ranking
FLNCUSDT,,FLNC,1.0,,0,1,sin match en el ranking
FLOCKUSDT,flock-2,FLOCK,1.0,1006,0,0,
FLOWUSDT,flow,FLOW,1.0,407,0,0,
FLUIDUSDT,instadapp,FLUID,1.0,259,0,0,
FLUXUSDT,zelcash,FLUX,1.0,887,0,0,
FOGOUSDT,fogo,FOGO,1.0,585,0,0,
FOLKSUSDT,folks,FOLKS,1.0,594,0,0,
FOOTBALLUSDT,,FOOTBALL,1.0,,0,1,sin match en el ranking
FORMUSDT,four,FORM,1.0,287,0,0,
FORTHUSDT,ampleforth-governance-token,FORTH,1.0,2231,0,1,RANK PROFUNDO (2231) — verificar a mano
FRAXUSDT,frax,FRAX,1.0,147,1,0,2 candidatos
FRONTUSDT,frontier-token,FRONT,1.0,2691,0,1,RANK PROFUNDO (2691) — verificar a mano
FTMUSDT,,FTM,1.0,,0,1,sin match en el ranking
FTTUSDT,,FTT,1.0,,0,1,sin match en el ranking
FUNUSDT,funfair,FUN,1.0,437,1,0,2 candidatos
FUSDT,synfutures,F,1.0,1027,0,0,
FWDIUSDT,,FWDI,1.0,,0,1,sin match en el ranking
FXSUSDT,,FXS,1.0,,0,1,sin match en el ranking
GALAUSDT,gala,GALA,1.0,289,0,0,
GALUSDT,project-galaxy,GAL,1.0,556,1,0,2 candidatos
GASUSDT,gas,GAS,1.0,369,0,0,
GENIUSUSDT,genius-3,GENIUS,1.0,215,0,0,
GEVUSDT,,GEV,1.0,,0,1,sin match en el ranking
GHSTUSDT,aavegotchi,GHST,1.0,2146,0,1,RANK PROFUNDO (2146) — verificar a mano
GIGGLEUSDT,giggle-fund,GIGGLE,1.0,587,0,0,
GLMRUSDT,moonbeam,GLMR,1.0,,0,1,RANK PROFUNDO (0) — verificar a mano
GLMUSDT,golem,GLM,1.0,277,0,0,
GLWUSDT,,GLW,1.0,,0,1,sin match en el ranking
GMEUSDT,gme,GME,1.0,2065,1,1,3 candidatos; RANK PROFUNDO (2065) — verificar a mano
GMTUSDT,stepn,GMT,1.0,784,0,0,
GMXUSDT,gmx,GMX,1.0,327,0,0,
GOATUSDT,goatseus-maximus,GOAT,1.0,1012,0,0,
GOOGLUSDT,alphabet-class-a-robinhood-tokenized-stock,GOOGL,1.0,2809,0,1,RANK PROFUNDO (2809) — verificar a mano
GPSUSDT,goplus-security,GPS,1.0,364,0,0,
GRAMUSDT,the-open-network,GRAM,1.0,26,0,0,
GRASSUSDT,grass,GRASS,1.0,148,0,0,
GRIFFAINUSDT,griffain,GRIFFAIN,1.0,1078,0,0,
GRTUSDT,the-graph,GRT,1.0,197,0,0,
GRVTUSDT,grvt,GRVT,1.0,528,0,0,
GSUSDT,gammaswap,GS,1.0,2463,0,1,RANK PROFUNDO (2463) — verificar a mano
GTCUSDT,gitcoin,GTC,1.0,1359,0,0,
GUAUSDT,superfortune,GUA,1.0,2214,0,1,RANK PROFUNDO (2214) — verificar a mano
GUNUSDT,gunz,GUN,1.0,1211,0,0,
GUSDT,g-token,G,1.0,698,0,0,
GWEIUSDT,ethgas-2,GWEI,1.0,390,0,0,
HAEDALUSDT,haedal,HAEDAL,1.0,1884,0,0,
HANAUSDT,hana-network,HANA,1.0,1304,0,0,
HBARUSDT,hedera-hashgraph,HBAR,1.0,30,0,0,
HDUSDT,,HD,1.0,,0,1,sin match en el ranking
HEIUSDT,heima,HEI,1.0,1163,0,0,
HEMIUSDT,hemi,HEMI,1.0,1627,0,0,
HFTUSDT,hashflow,HFT,1.0,1326,0,0,
HIFIUSDT,,HIFI,1.0,,0,1,sin match en el ranking
HIGHUSDT,,HIGH,1.0,,0,1,sin match en el ranking
HIMSUSDT,,HIMS,1.0,,0,1,sin match en el ranking
HIPPOUSDT,sudeng,HIPPO,1.0,2670,0,1,RANK PROFUNDO (2670) — verificar a mano
HIVEUSDT,hive,HIVE,1.0,753,0,0,
HK0700USDT,,HK0700,1.0,,0,1,sin match en el ranking
HK1810USDT,,HK1810,1.0,,0,1,sin match en el ranking
HMSTRUSDT,hamster-kombat,HMSTR,1.0,1080,0,0,
HNTUSDT,helium,HNT,1.0,603,0,0,
HOLOUSDT,holoworld,HOLO,1.0,394,0,0,
HOMEUSDT,home,HOME,1.0,475,0,0,
HOODUSDT,robinhood-markets-backpack-securities,HOOD,1.0,3479,0,1,RANK PROFUNDO (3479) — verificar a mano
HOOKUSDT,hooked-protocol,HOOK,1.0,2857,0,1,RANK PROFUNDO (2857) — verificar a mano
HOTUSDT,holotoken,HOT,1.0,385,0,0,
HPEUSDT,,HPE,1.0,,0,1,sin match en el ranking
HUMAUSDT,huma-finance,HUMA,1.0,576,0,0,
HUSDT,humanity,H,1.0,153,0,0,
HYPERUSDT,hyperlane,HYPER,1.0,752,0,0,
HYPEUSDT,hyperliquid,HYPE,1.0,10,0,0,
HYUNDAIUSDT,,HYUNDAI,1.0,,0,1,sin match en el ranking
IBMUSDT,,IBM,1.0,,0,1,sin match en el ranking
ICNTUSDT,impossible-cloud-network-token,ICNT,1.0,579,0,0,
ICPUSDT,internet-computer,ICP,1.0,60,0,0,
ICXUSDT,icon,ICX,1.0,775,0,0,
IDEXUSDT,aurora-dao,IDEX,1.0,3206,0,1,RANK PROFUNDO (3206) — verificar a mano
IDOLUSDT,meet48,IDOL,1.0,574,0,0,
IDUSDT,space-id,ID,1.0,1029,1,0,2 candidatos
ILVUSDT,illuvium,ILV,1.0,724,0,0,
IMXUSDT,immutable-x,IMX,1.0,271,0,0,
INITUSDT,initia,INIT,1.0,1125,0,0,
INJUSDT,injective-protocol,INJ,1.0,103,0,0,
INTCUSDT,intel-robinhood-tokenized-stock,INTC,1.0,3266,1,1,2 candidatos; RANK PROFUNDO (3266) — verificar a mano
INTWUSDT,,INTW,1.0,,0,1,sin match en el ranking
INUSDT,infinit,IN,1.0,1115,0,0,
INXUSDT,infinex-2,INX,1.0,916,0,0,
IOSTUSDT,iostoken,IOST,1.0,813,0,0,
IOTAUSDT,iota,IOTA,1.0,190,0,0,
IOTXUSDT,iotex,IOTX,1.0,720,0,0,
IOUSDT,io,IO,1.0,465,0,0,
IPUSDT,,IP,1.0,,0,1,sin match en el ranking
IRENUSDT,,IREN,1.0,,0,1,sin match en el ranking
IRUSDT,infrared-finance,IR,1.0,2181,0,1,RANK PROFUNDO (2181) — verificar a mano
IRYSUSDT,irys,IRYS,1.0,588,0,0,
IWMUSDT,,IWM,1.0,,0,1,sin match en el ranking
JASMYUSDT,jasmycoin,JASMY,1.0,155,0,0,
JCTUSDT,janction,JCT,1.0,501,0,0,
JELLYJELLYUSDT,jelly-my-jelly,JELLYJELLY,1.0,378,0,0,
JOEUSDT,joe,JOE,1.0,1032,1,0,2 candidatos
JPMUSDT,,JPM,1.0,,0,1,sin match en el ranking
JSTUSDT,just,JST,1.0,73,0,0,
JTOUSDT,jito-governance-token,JTO,1.0,131,0,0,
JUPUSDT,jupiter-exchange-solana,JUP,1.0,91,0,0,
KAIAUSDT,kaia,KAIA,1.0,179,0,0,
KAITOUSDT,kaito,KAITO,1.0,247,0,0,
KASUSDT,kaspa,KAS,1.0,85,0,0,
KATUSDT,katana-network-token,KAT,1.0,998,1,0,2 candidatos
KAVAUSDT,kava,KAVA,1.0,464,0,0,
KDAUSDT,kadena,KDA,1.0,2436,0,1,RANK PROFUNDO (2436) — verificar a mano
KEEPUSDT,keep-network,KEEP,1.0,1205,0,0,
KERNELUSDT,kernel-2,KERNEL,1.0,1173,0,0,
KEYUSDT,,KEY,1.0,,0,1,sin match en el ranking
KGENUSDT,kgen,KGEN,1.0,519,0,0,
KITEUSDT,kite-2,KITE,1.0,143,1,0,2 candidatos
KLACUSDT,,KLAC,1.0,,0,1,sin match en el ranking
KLAYUSDT,,KLAY,1.0,,0,1,sin match en el ranking
KMNOUSDT,kamino,KMNO,1.0,258,0,0,
KNCUSDT,kyber-network-crystal,KNC,1.0,875,0,0,
KOMAUSDT,koma-inu,KOMA,1.0,1244,0,0,
KORUUSDT,,KORU,1.0,,0,1,sin match en el ranking
KSMUSDT,kusama,KSM,1.0,403,0,0,
